Title_job,link,Location,company_name,skills
Senior Java Developer,https://wuzzuf.net/https://wuzzuf.net/jobs/p/ggXYsjMOAKkJ-Senior-Java-Developer-egabi-solutions-Cairo-Egypt,"Sheraton, Cairo, Egypt",egabi solutions -,Full TimeOn-siteExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Information Technology (IT) · Java · Banks · Design Patters · Web Development · SQL
Junior Technical Project Manager,https://wuzzuf.net/https://wuzzuf.net/jobs/p/Zv1CeV8vbxGN-Junior-Technical-Project-Manager-BBI-Consultancy-Cairo-Egypt,"Nasr City, Cairo, Egypt",BBI-Consultancy -,Full TimeHybridExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Project/Program Management · Agile · Computer Science · English · Project Management · Scrum Master · Project Manager · Scrum · agile project management
"Email&Chat (Etisalat UAE), English Account Advisor, Maadi",https://wuzzuf.net/https://wuzzuf.net/jobs/p/6BMwr4jEhDLX-EmailChat-Etisalat-UAE-English-Account-Advisor-Maadi-Etisalat-Egypt-Cairo-Egypt,"Maadi, Cairo, Egypt",Etisalat Egypt -,Full TimeOn-siteEntry Level · 0 - 15 Yrs of Exp · Customer Service/Support · Operations/Management · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English · Medical
"Email & Chat Account (Etisalat UAE), English Call Center",https://wuzzuf.net/https://wuzzuf.net/jobs/p/NMkQI3tfxzBJ-Email-Chat-Account-Etisalat-UAE-English-Call-Center-Etisalat-Egypt-Cairo-Egypt,"Maadi, Cairo, Egypt",Etisalat Egypt -,Full TimeOn-siteEntry Level · 0 - 15 Yrs of Exp · Business Development · Customer Service/Support · Sales/Retail · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English
"Educational Center Academic Researcher (medicine, Pharmaceutical, nursing)",https://wuzzuf.net/https://wuzzuf.net/jobs/p/XLaS7DjKzDd2-Educational-Center-Academic-Researcher-medicine-Pharmaceutical-nursing-الناجح-للخدمات-والاستشارات-التعليمية-والطلابية-Cairo-Egypt,"Mokattam, Cairo, Egypt",الناجح للخدمات والاستشارات التعليمية والطلابية -,Full TimePart TimeHybridManager · 2+ Yrs of Exp · Writing/Editorial · Medical/Healthcare · Pharmaceutical · Academic · Research · Education · Clinical Research · Pharmaceutical · Pharmaceutical Sciences · Pharmaceutical Science
SAP PP Consultant,https://wuzzuf.net/https://wuzzuf.net/jobs/p/x3VnrZzsoRBk-SAP-PP-Consultant-Arma-HSA-Cairo-Egypt,"New Cairo, Cairo, Egypt",Arma-HSA -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · computer · Computer Science · Data Migration · Implementation · Information technology · Information Technology (IT) · S/4hana · SAP · Production
Power BI Developer,https://wuzzuf.net/https://wuzzuf.net/jobs/p/fxFV4RQYHZmv-Power-BI-Developer-BI-Technologies-Cairo-Egypt,"New Cairo, Cairo, Egypt",BI-Technologies -,Full TimeHybridEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Power BI · SSRS · BI · SQL · Microsoft Power BI · Engineering
Devops Engineer Expert,https://wuzzuf.net/https://wuzzuf.net/jobs/p/1ZypvldeBfSe-Devops-Engineer-Expert-BBI-Consultancy-Cairo-Egypt,"Nasr City, Cairo, Egypt",BBI-Consultancy -,Full TimeHybridExperienced · 6+ Yrs of Exp · IT/Software Development · cloudera · Big Data · Computer Engineering · DevOps · Kafka · Data · Hadoop · Computer Science
Administrative Assistant,https://wuzzuf.net/https://wuzzuf.net/jobs/p/z35RRtHXcVl5-Administrative-Assistant-AGCO-Cairo-Egypt,"New Cairo, Cairo, Egypt",AGCO -,Full TimeOn-siteEntry Level · 0 - 3 Yrs of Exp · Administration · Customer Service/Support · Marketing/PR/Advertising · Administration · administrative · Admin · Communication · Customer Service · Customer Support · Customer Care
Business Analyst,https://wuzzuf.net/https://wuzzuf.net/jobs/p/U4w1YCO6WgTm-Business-Analyst-Transformation-Experts-Cairo-Egypt,"Cairo, Egypt",Transformation Experts -,Full TimeFreelance / ProjectRemoteExperienced · 1 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analysis · Information Technology (IT) · systems analysis · SQL · Technical Writing · Analysis · Computer Science
Head of Science Department,https://wuzzuf.net/https://wuzzuf.net/jobs/p/xoy2NQHoKprV-Head-of-Science-Department-Creatives-International-Schools-CIS-Sharqia-Egypt,"Sharqia, Egypt",Creatives International Schools ( CIS ) -,Full TimeOn-siteSenior Management · 9+ Yrs of Exp · Operations/Management · Education/Teaching · Operations Management · Teaching · Education · Head of Department
Senior Data Scientist - Hybrid,https://wuzzuf.net/https://wuzzuf.net/jobs/p/vNVfWIIz9Knf-Senior-Data-Scientist---Hybrid-Seoudi-Supermarket-Giza-Egypt,"Sheikh Zayed, Giza, Egypt",Seoudi Supermarket -,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Data Science · Analysis · Computer Science · Machine Learning · Python · SQL
Data Analyst,https://wuzzuf.net/https://wuzzuf.net/jobs/p/V3YFmjC8ooSj-Data-Analyst-Cairo-Three-A-Poultry-Cairo-Egypt,"New Cairo, Cairo, Egypt",Cairo Three A Poultry -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Power BI · Tableau · Data Analysis · SQL
Senior Data Warehouse Architect,https://wuzzuf.net/https://wuzzuf.net/jobs/p/DzwHT1Bv8DKy-Senior-Data-Warehouse-Architect-Kuwait-City-Kuwait,"Kuwait City, Kuwait",Confidential -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Tourism/Travel · Azure · SQL · ETL · Data Warehousing · Database
Data Analyst,https://wuzzuf.net/https://wuzzuf.net/jobs/p/X7y9gVNXPRbp-Data-Analyst-Helal-Group-Cairo-Egypt,"New Cairo, Cairo, Egypt",Helal Group -,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Data · Data Analyst · Data Analysis · Analysis · analytical · Analyst
